scene;frame;bruteforce;smartforce;nodes;edges
scene-0757;17;0.0187;0.0001;21;188
scene-0757;18;0.0237;0.0002;23;221
scene-0757;19;0.0236;0.0002;23;221
scene-0757;20;0.0215;0.0001;23;221
scene-0757;21;0.0216;0.0001;23;221
scene-0757;22;0.0216;0.0002;23;221
scene-0757;23;0.0210;0.0001;24;237
scene-0757;24;0.0210;0.0001;24;237
scene-0757;25;0.0237;0.0002;25;254
scene-0757;26;0.0267;0.0002;26;272
scene-0757;27;0.0273;0.0002;26;272
scene-0757;28;0.0237;0.0002;26;272
scene-0757;29;0.0273;0.0002;27;290
scene-0757;30;0.0271;0.0002;27;290
scene-0757;31;0.0236;0.0002;27;290
scene-0757;32;0.0210;0.0002;27;290
scene-0757;33;0.0238;0.0002;28;307
scene-0757;34;0.0267;0.0002;29;325
scene-0757;35;0.0219;0.0001;29;325
scene-0757;36;0.0166;0.0001;29;325
scene-0757;37;0.0169;0.0001;30;339
scene-0757;38;0.0171;0.0001;30;339
scene-0757;39;0.0140;0.0001;30;339
scene-0796;0;0.0376;0.0003;22;231
scene-0796;1;0.0410;0.0003;28;348
scene-0796;2;0.0376;0.0003;28;348
scene-0796;3;0.0454;0.0003;30;393
scene-0796;4;0.0457;0.0003;31;416
scene-0796;5;0.0440;0.0003;31;416
scene-0796;6;0.0465;0.0004;32;439
scene-0796;7;0.0509;0.0003;34;486
scene-0796;8;0.0492;0.0003;34;486
scene-0796;9;0.0576;0.0004;36;537
scene-0796;10;0.0566;0.0004;38;588
scene-0796;11;0.0642;0.0005;40;643
scene-0796;12;0.0560;0.0004;41;669
scene-0796;13;0.1179;0.0003;41;669
scene-0796;14;0.0357;0.0002;41;669
scene-0796;15;0.0363;0.0002;42;690
scene-0796;16;0.0326;0.0003;42;690
scene-0796;17;0.0294;0.0002;42;690
scene-0796;18;0.0263;0.0002;42;690
scene-0796;19;0.0292;0.0002;45;744
scene-0796;20;0.0321;0.0002;46;764
scene-0796;21;0.0284;0.0002;46;764
scene-0796;22;0.0217;0.0002;46;764
scene-0796;23;0.0167;0.0001;47;778
scene-0796;24;0.0193;0.0001;48;793
scene-0796;25;0.0164;0.0001;48;793
scene-0796;26;0.0191;0.0002;49;808
scene-0796;27;0.0218;0.0001;50;824
scene-0796;28;0.0219;0.0001;50;824
scene-0796;29;0.0237;0.0002;51;841
scene-0796;30;0.0236;0.0002;51;841
